jugador,equipo,Competición,goles,asistencias,partidos
King J.,Toulouse,FR Ligue 1,6,3,28
Minamino T.,Mónaco,FR Ligue 1,6,3,27
Abdelli H.,Angers,FR Ligue 1,6,1,26
Nzola M.,Lens,FR Ligue 1,6,1,27
Jubal Junior,Auxerre,FR Ligue 1,6,0,28
Akliouche M.,Mónaco,FR Ligue 1,5,10,24
Sinayoko L.,Auxerre,FR Ligue 1,5,8,30
Fofana M.,Lyon,FR Ligue 1,5,4,30
Soumare I.,Le Havre,FR Ligue 1,5,4,27
Camara M.,Brest,FR Ligue 1,5,3,29
Cardona I.,Saint-Étienne,FR Ligue 1,5,3,26
Gboho Y.,Toulouse,FR Ligue 1,5,3,28
Haraldsson H.,Lille,FR Ligue 1,5,3,27
Abdi A.,Niza,FR Ligue 1,5,2,29
Ferreira V.,PSG,FR Ligue 1,5,1,25
Magri F.,Toulouse,FR Ligue 1,5,1,25
Sierro V.,Toulouse,FR Ligue 1,5,1,23
Mostafa Mohamed,Nantes,FR Ligue 1,5,0,31
Hakimi A.,PSG,FR Ligue 1,4,6,28
Diarra H.,Estrasburgo,FR Ligue 1,4,5,27
Ruiz F.,PSG,FR Ligue 1,4,5,26
Ito J.,Reims,FR Ligue 1,4,4,30
Maupay N.,Marsella,FR Ligue 1,4,4,27
Casimir J.,Le Havre,FR Ligue 1,4,3,24
Kvaratskhelia K.,PSG,FR Ligue 1,4,3,20
Lemarechal F.,Estrasburgo,FR Ligue 1,4,3,19
Babicka S.,Toulouse,FR Ligue 1,4,2,23
Douglas Augusto,Nantes,FR Ligue 1,4,2,27
Fernandez-Pardo M.,Lille,FR Ligue 1,4,2,23
Frankowski P.,Lens,FR Ligue 1,4,2,27
Munetsi M.,Reims,FR Ligue 1,4,2,29
Ayew A.,Le Havre,FR Ligue 1,4,1,21
Diakite B.,Lille,FR Ligue 1,4,1,26
Diakite O.,Reims,FR Ligue 1,4,1,23
Nordin A.,Montpellier,FR Ligue 1,4,1,27
Onaiwu A.,Auxerre,FR Ligue 1,4,1,24
Zhegrova E.,Lille,FR Ligue 1,4,1,27
Balogun F.,Mónaco,FR Ligue 1,4,0,15
Kehrer T.,Mónaco,FR Ligue 1,4,0,19
Koyalipou G.,Lens,FR Ligue 1,4,0,21
Clauss J.,Niza,FR Ligue 1,3,8,25
Neves J.,PSG,FR Ligue 1,3,7,27
Thomasson A.,Lens,FR Ligue 1,3,7,25
Assignon L.,Stade Rennais,FR Ligue 1,3,4,21
Cho M.,Niza,FR Ligue 1,3,4,26
Bouanani B.,Niza,FR Ligue 1,3,3,20
Rowe J.,Marsella,FR Ligue 1,3,3,17
Sahraoui O.,Lille,FR Ligue 1,3,3,19
Bakker M.,Lille,FR Ligue 1,3,2,22
Diomande S.,Auxerre,FR Ligue 1,3,2,17
Donnum A.,Toulouse,FR Ligue 1,3,2,14
Doumbia K.,Brest,FR Ligue 1,3,2,18
Faivre R.,Brest,FR Ligue 1,3,2,19
Ilenikhena G.,Mónaco,FR Ligue 1,3,2,15
Lala K.,Brest,FR Ligue 1,3,2,16
Adams A.,Montpellier,FR Ligue 1,3,1,14
Akpom Ch.,Lille,FR Ligue 1,3,1,13
Cresswell C.,Toulouse,FR Ligue 1,3,1,12
Hassan A.,Le Havre,FR Ligue 1,3,1,18
Niane I.,Angers,FR Ligue 1,3,1,19
Nuamah E.,Lyon,FR Ligue 1,3,1,17
Rongier V.,Marsella,FR Ligue 1,3,1,23
Rosario P.,Niza,FR Ligue 1,3,1,20
Sissoko I.,Saint-Étienne,FR Ligue 1,3,1,18
Tagliafico N.,Lyon,FR Ligue 1,3,1,29
Tamari M.,Stade Rennais,FR Ligue 1,3,1,24
Wahi E.,Marsella,FR Ligue 1,3,1,22
Boakye A.,Saint-Étienne,FR Ligue 1,3,0,15
Coulibaly T.,Montpellier,FR Ligue 1,3,0,20
Dieng B.,Angers,FR Ligue 1,3,0,16
Golovin A.,Mónaco,FR Ligue 1,3,0,18
Gomez C. A.,Stade Rennais,FR Ligue 1,3,0,19
Ndayishimiye Y.,Niza,FR Ligue 1,3,0,15
Said W.,Lens,FR Ligue 1,3,0,16
Sangante A.,Le Havre,FR Ligue 1,3,0,15
Sanson M.,Niza,FR Ligue 1,3,0,16




Guirassy S.,Borussia Dortmund,Champions League,92,2,38
Lewandowski R.,Barcelona,Champions League,90,0,37
Raphinha,Barcelona,Champions League,85,0,56
Vinicius Junior,Real Madrid,Champions League,71,1,30
Griezmann A.,Atlético de Madrid,Champions League,63,0,38
David J.,Lille,Champions League,61,1,34
Kane H.,Bayern Múnich,Champions League,61,1,36
Wirtz F.,Bayer Leverkusen,Champions League,61,1,34
Álvarez J.,Atlético de Madrid,Champions League,61,1,35
Gyokeres V.,Sporting CP,Champions League,60,0,34
Haaland E.,Manchester City,Champions League,60,0,31
Giménez S.,Feyenoord,Champions League,51,1,30
Pavlidis V.,Benfica,Champions League,51,1,33
Martínez L.,Inter,Champions League,50,0,35
De Ketelaere C.,Atalanta,Champions League,45,0,29
Lookman A.,Atalanta,Champions League,42,0,33
Saka B.,Arsenal,Champions League,42,0,36
Dembélé O.,PSG,Champions League,41,0,29
Havertz K.,Arsenal,Champions League,41,0,36
Pulisic C.,AC Milan,Champions League,41,0,35
Rodrygo,Real Madrid,Champions League,41,0,34
Vlahovic D.,Juventus,Champions League,41,0,33
Gittens J.,Borussia Dortmund,Champions League,40,0,32
Olise M.,Bayern Múnich,Champions League,40,0,32
Sesko B.,RB Leipzig,Champions League,40,0,31
Salah M.,Liverpool,Champions League,34,0,38
Leao R.,AC Milan,Champions League,32,0,34
Mbappé K.,Real Madrid,Champions League,32,0,33
Tillman M.,PSV,Champions League,32,0,32
Adeyemi K.,Borussia Dortmund,Champions League,31,0,30
Correa A.,Atlético de Madrid,Champions League,31,0,29
Foden P.,Manchester City,Champions League,31,0,32
Gakpo C.,Liverpool,Champions League,31,0,33
Idah A.,Celtic,Champions League,31,0,26
Milambo A.,Feyenoord,Champions League,31,0,29
Rogers M.,Aston Villa,Champions League,31,0,31
Akturkoglu K.,Benfica,Champions League,30,0,28
Diaz L.,Liverpool,Champions League,30,0,31
Duran J.,Aston Villa,Champions League,30,0,29
Hadj Moussa A.,Feyenoord,Champions League,30,0,26
Kokcu O.,Benfica,Champions League,30,0,30
Kulenovic S.,Dinamo Zagreb,Champions League,30,0,27
Maeda D.,Celtic,Champions League,30,0,26
Radonjic N.,Estrella Roja,Champions League,30,0,29
Reijnders T.,AC Milan,Champions League,30,0,26
Retegui M.,Atalanta,Champions League,30,0,36
Sima A.,Brest,Champions League,30,0,27
Llorente M.,Atlético de Madrid,Champions League,24,0,22
Millot E.,Stuttgart,Champions League,24,0,23
Musiala J.,Bayern Múnich,Champions League,24,0,21
